***BUSMASTER Ver 2.6.2***
***PROTOCOL CAN***
***NOTE: PLEASE DO NOT EDIT THIS DOCUMENT***
***[START LOGGING SESSION]***
***START DATE AND TIME 31:10:2019 11:48:35:580***
***HEX***
***SYSTEM MODE***
***START CHANNEL BAUD RATE***
***CHANNEL 1 - PCAN-USB Device ID - FFh - 500000 bps***
***END CHANNEL BAUD RATE***
***START DATABASE FILES (DBF/DBC)***
***END OF DATABASE FILES (DBF/DBC)***
***<Time><Tx/Rx><Channel><CAN ID><Type><DLC><DataBytes>***
11:48:47:9641 Rx 1 0x18EEFF3D x 8 53 11 E0 0A 00 00 00 00 
11:48:47:9829 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:48:0228 Rx 1 0xCF0233D x 8 00 00 F0 FF FF FF FF FF 
11:48:48:0231 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:48:0234 Rx 1 0x18FEDF3D x 8 FF 00 00 00 FF 00 00 F0 
11:48:48:0237 Rx 1 0x18FEF53D x 8 DE FF FF 20 22 41 FF FF 
11:48:48:0331 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:48:0730 Rx 1 0xCF0233D x 8 00 00 F1 FF FF FF FF FF 
11:48:48:0733 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:48:0829 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:48:1296 Rx 1 0xCF0233D x 8 00 00 F1 FF FF FF FF FF 
11:48:48:1299 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:48:1330 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:48:1729 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:48:1732 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:48:1827 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:48:2226 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:48:2229 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:48:2329 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:48:2795 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:48:2798 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
